,,,,,,,,,,,,,,,
,AMM Parts List Complete,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Sl No.,Subassembly Name,Part Name,Comments,Drawing Done,Part #,Drawing Name,Quantity,Manufacturing Method,Manufactured/Standard,"Manufacturer/
F,,Main Frame Asm,Main_Conveyor_Tightener,,YES,152,,4,Drilling,Manufactured,,,,,
,,Main Frame Asm,M6x20 Bolt Allen Head,,,153,,8,,Standard,,,,,
F,,Cutter Asm,Cutter_Mount_Plate,,YES,154,,2,Laser Cutting,Manufactured,,,,,
,,Cutter Asm,M5x10 CSK Minus,,,155,,4,,Standard,,,,,
,,Nurva Roll Asm,Nurva Roll,,,156,,1,Drilling,Manufactured,,,,,
,,Nurva Roll Asm,Dell Laptop Service ,,,157,,1,Laser Cutting,Manufactured,,,,,
,,Nurva Roll Asm,Nurva Roll Cap Tightener,,,158,,1,Laser Cutting,Manufactured,,,,,
Prev part,,Cutter Asm,DEP_Support_Rod,Changed to main frame support rod,YES,159,,3,Drilling,Manufactured,,,,,
F,,Cutter Asm,DEP_Roll_Holder,,YES,160,,2,Laser Cutting,Manufactured,,,,,
F,,Cutter Asm,DEP_Holder_Placer,,YES,161,,4,Turning,Manufactured,,,,,
,,Cutter Asm,DEP Roll,,,162,,5,,Standard,,,,,
,,Cutter Asm,Spring,,,163,,2,,Standard,,,,,
,,Cutter Asm,M6x15 Allen Head,,,164,,6,,Standard,,,,,
,,Cutter Asm,M5x2.5 Grub Screw,,,165,,8,,Standard,,,,,
F,,Conveyor Roller Asm,Roller Tube Holder Plate,,YES,166,,8,Laser Cutting,Manufactured,,,,,
F,,Conveyor Roller Asm,Roller Tube,,YES,167,,4,,Manufactured,,,,,
F,,Cutter Asm,Cutter_Roller_Back_Holder_2,,YES,168,,2,"Turning, Drilling",Manufactured,,,,,
F,,Alternate Roller Asm,Side Plate Roller Top,,YES,169,,2,Laser Cutting,Manufactured,,,,,
F,,Alternate Roller Asm,Side Plate Roller Bottom,,YES,170,,2,Laser Cutting,Manufactured,,,,,
F,,Alternate Roller Asm,Conveyor Presser,,YES,171,,3,Laser Cutting,Manufactured,,,,,
F,,,Stick_Guide_Chain,,YES,172,,25,Laser Cutting,Manufactured,,,,,
F,,Cutter Asm,Gear Holder,,YES,173,,1,Turning,Manufactured,,,,,
